column,target_mean,std_error
lncoins,1.6866963333333331,0.09204768677762293
lpi,4.694836084571428,0.04563287105419722
fmde,3.7613044666666666,0.3242503700474241
disea,11.19784548057143,0.11336434724844603
idp,0.2671428571428571,0.007480135664353484
physlim,0.12171428571428572,0.005527346817162414
hlthg,0.35828571428571426,0.008106131199592333
hlthf,0.09444444444444444,0.02185844394810711
hlthp,0.016666666666666666,0.009568596474165518
disease_ge_6,0.8666666666666667,0.031161756829520177
disease_ge_10,0.6333333333333333,0.04417518812144316
disease_ge_14,0.15083333333333335,0.010335596396344569
disease_ge_18,0.09916666666666667,0.00863168315195655
disease_ge_22,0.056666666666666664,0.0066770838822501795
disease_ge_28,0.017777777777777778,0.006236205872652561
coins_zero,0.57,0.014297564488118593
coins_low,0.4111111111111111,0.03677644721085855
coins_mid,0.43342857142857144,0.008377494124238221
coins_high,0.24085714285714285,0.00722885558903569
coins_vhigh,0.17777777777777778,0.02857635459490812
incentive_low,0.7545714285714286,0.007275130146577677
incentive_mid,0.7416666666666667,0.040125561565454056
incentive_high,0.36916666666666664,0.01393666834928536
fmde_low,0.6333333333333333,0.036018479290545795
fmde_mid,0.57,0.008369503289328978
fmde_high,0.33914285714285713,0.008003374888158783
idp_x_high_disease,0.041666666666666664,0.005770893833945066
idp_x_vhigh_disease,0.015555555555555555,0.005840031624016945
phys_x_high_disease,0.06916666666666667,0.007327820039378377
phys_x_fairpoor,0.03333333333333333,0.013416870523683459
idp_x_fairpoor,0.027777777777777776,0.012283015670580315
good_x_zero_coins,0.19314285714285714,0.0066736846096937365
high_coins_x_high_disease,0.03,0.004926482029567993
zero_coins_x_high_disease,0.07111111111111111,0.01212906841602666
idp_x_zero_coins,0.19333333333333333,0.01863705361328101
idp_x_high_coins,0.053714285714285714,0.0038113959933677114
phys_x_idp,0.03333333333333333,0.013416870523683462
fairpoor_x_high_disease,0.0275,0.004722821812387127
good_x_low_disease,0.13777777777777778,0.016265822293883663
high_incentive_x_idp,0.08333333333333333,0.025336208004377508
high_fmde_x_phys,0.04,0.009247885450234998
disea_x_idp,2.7241789,0.5074560030920167
disea_x_phys,2.4613943833333334,0.6655336368159401
coins_x_idp,0.19486062222222222,0.04379885417996097
